league,league_id,league_tier,league_start_date_time,league_end_date_time,league_region,series_id,series_type,match_id,match_start_date_time,match_duration_seconds,first_blood_time_seconds,radiant_team_id,radiant_team_name,dire_team_id,dire_team_name,winner_id,radiant_kills,dire_kills,radiant_player_1_id,radiant_player_1_name,radiant_player_1_hero_id,radiant_player_1_hero,radiant_player_1_position,radiant_player_1_lane,radiant_player_1_role,radiant_player_1_kills,radiant_player_1_deaths,radiant_player_1_assists,radiant_player_1_networth,radiant_player_2_id,radiant_player_2_name,radiant_player_2_hero_id,radiant_player_2_hero,radiant_player_2_position,radiant_player_2_lane,radiant_player_2_role,radiant_player_2_kills,radiant_player_2_deaths,radiant_player_2_assists,radiant_player_2_networth,radiant_player_3_id,radiant_player_3_name,radiant_player_3_hero_id,radiant_player_3_hero,radiant_player_3_position,radiant_player_3_lane,radiant_player_3_role,radiant_player_3_kills,radiant_player_3_deaths,radiant_player_3_assists,radiant_player_3_networth,radiant_player_4_id,radiant_player_4_name,radiant_player_4_hero_id,radiant_player_4_hero,radiant_player_4_position,radiant_player_4_lane,radiant_player_4_role,radiant_player_4_kills,radiant_player_4_deaths,radiant_player_4_assists,radiant_player_4_networth,radiant_player_5_id,radiant_player_5_name,radiant_player_5_hero_id,radiant_player_5_hero,radiant_player_5_position,radiant_player_5_lane,radiant_player_5_role,radiant_player_5_kills,radiant_player_5_deaths,radiant_player_5_assists,radiant_player_5_networth,dire_player_1_id,dire_player_1_name,dire_player_1_hero_id,dire_player_1_hero,dire_player_1_position,dire_player_1_lane,dire_player_1_role,dire_player_1_kills,dire_player_1_deaths,dire_player_1_assists,dire_player_1_networth,dire_player_2_id,dire_player_2_name,dire_player_2_hero_id,dire_player_2_hero,dire_player_2_position,dire_player_2_lane,dire_player_2_role,dire_player_2_kills,dire_player_2_deaths,dire_player_2_assists,dire_player_2_networth,dire_player_3_id,dire_player_3_name,dire_player_3_hero_id,dire_player_3_hero,dire_player_3_position,dire_player_3_lane,dire_player_3_role,dire_player_3_kills,dire_player_3_deaths,dire_player_3_assists,dire_player_3_networth,dire_player_4_id,dire_player_4_name,dire_player_4_hero_id,dire_player_4_hero,dire_player_4_position,dire_player_4_lane,dire_player_4_role,dire_player_4_kills,dire_player_4_deaths,dire_player_4_assists,dire_player_4_networth,dire_player_5_id,dire_player_5_name,dire_player_5_hero_id,dire_player_5_hero,dire_player_5_position,dire_player_5_lane,dire_player_5_role,dire_player_5_kills,dire_player_5_deaths,dire_player_5_assists,dire_player_5_networth,game_version_id
Dota 2 Space League,16635,PROFESSIONAL,2024-05-12 21:00:00,2024-10-14 21:00:00,CIS,899205,BEST_OF_THREE,7903810236,2024-08-19 01:38:25,1542,111,8849837,FALL VICTIMS,8936613,Wild Dragon,8849837,,,358303866,FV.Norbert,87,Disruptor,,,,3,7,11,7094,342667282,FV.1Yato1,19,Tiny,,,,2,4,11,9413,332180099,FV.BenzDance~,104,Legion Commander,,,,3,3,6,13718,422351924,FV.NoRemorse,49,Dragon Knight,,,,7,2,4,20246,122574061,FV.Trilemma,46,Templar Assassin,,,,8,4,7,15132,153638376,WD.Hellen,20,Vengeful Spirit,,,,1,5,7,6167,35127887,WD.Javi,81,Chaos Knight,,,,2,8,4,10383,370736080,WD.Darima,71,Spirit Breaker,,,,7,1,9,9418,1674133168,WD.Nyac,25,Lina,,,,6,3,5,16878,1675168076,WD.Kalanno,48,Luna,,,,4,6,3,13910,176
Dota 2 Space League,16635,PROFESSIONAL,2024-05-12 21:00:00,2024-10-14 21:00:00,CIS,899205,BEST_OF_THREE,7903792349,2024-08-19 01:09:01,1200,187,8936613,Wild Dragon,8849837,FALL VICTIMS,8849837,4,23,153638376,WD.Hellen,26,Lion,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,6,1,3440,1674133168,WD.Nyac,22,Zeus,POSITION_2,MID_LANE,CORE,0,6,2,8495,370736080,WD.Darima,71,Spirit Breaker,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,3,3,5046,35127887,WD.Javi,81,Chaos Knight,POSITION_3,OFF_LANE,CORE,2,4,1,9350,1675168076,WD.Kalanno,6,Drow Ranger,POSITION_1,SAFE_LANE,CORE,0,4,1,8575,358303866,FV.Norbert,37,Warlock,POSITION_5,SAFE_LANE,HARD_SUPPORT,0,2,13,6517,342667282,FV.1Yato1,19,Tiny,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,1,10,6682,332180099,FV.BenzDance~,49,Dragon Knight,POSITION_3,OFF_LANE,CORE,0,1,10,10037,422351924,FV.NoRemorse,126,Void Spirit,POSITION_2,MID_LANE,CORE,11,0,8,13402,122574061,FV.Trilemma,48,Luna,POSITION_1,SAFE_LANE,CORE,7,0,4,13319,176
Dota 2 Space League,16635,PROFESSIONAL,2024-05-12 21:00:00,2024-10-14 21:00:00,CIS,899174,BEST_OF_THREE,7903758411,2024-08-19 00:12:21,1523,161,8849990,REAL ECLIPSE,8970060,Moonwalkers,8849990,27,21,69799134,RE.Entan,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,5,3,12,10782,1673878148,RE.siuuu,72,Gyrocopter,POSITION_1,SAFE_LANE,CORE,8,4,7,15929,244664524,RE.Photon,80,Lone Druid,POSITION_3,OFF_LANE,CORE,1,9,6,10255,120488420,RE.Trixi,5,Crystal Maiden,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,4,17,8353,1673685362,RE.Terax,11,Shadow Fiend,POSITION_2,MID_LANE,CORE,11,1,3,20465,253075824,MW.zruze,84,Ogre Magi,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,4,5,7418,214494274,MW.sogi,85,Undying,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,11,6,5920,200669009,MW.SoLaR,20,Vengeful Spirit,POSITION_2,MID_LANE,CORE,4,4,2,13506,894758362,MW.GeoManser,6,Drow Ranger,POSITION_1,SAFE_LANE,CORE,9,4,2,14478,95501968,MW.BlackSin,55,Dark Seer,POSITION_3,OFF_LANE,CORE,2,4,5,11676,176
Dota 2 Space League,16635,PROFESSIONAL,2024-05-12 21:00:00,2024-10-14 21:00:00,CIS,899174,BEST_OF_THREE,7903730404,2024-08-18 23:28:48,1968,145,8970060,Moonwalkers,8849990,REAL ECLIPSE,8970060,33,26,253075824,MW.zruze,84,Ogre Magi,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,6,20,13794,95501968,MW.BlackSin,42,Wraith King,POSITION_3,OFF_LANE,CORE,4,3,11,18775,214494274,MW.sogi,64,Jakiro,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,8,20,10974,894758362,MW.GeoManser,6,Drow Ranger,POSITION_1,SAFE_LANE,CORE,9,8,14,19168,200669009,MW.SoLaR,126,Void Spirit,POSITION_2,MID_LANE,CORE,14,1,13,25615,69799134,RE.Entan,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,7,11,9565,1673685362,RE.Terax,11,Shadow Fiend,POSITION_2,MID_LANE,CORE,8,5,6,20526,120488420,RE.Trixi,5,Crystal Maiden,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,8,8,8320,244664524,RE.Photon,14,Pudge,POSITION_3,OFF_LANE,CORE,8,8,7,16308,1673878148,RE.siuuu,70,Ursa,POSITION_1,SAFE_LANE,CORE,4,5,2,17828,176
RES - Regional Series LATAM #4,16709,PROFESSIONAL,2024-07-31 22:00:00,2024-10-14 22:00:00,SA,899159,BEST_OF_THREE,7903721670,2024-08-18 23:15:56,1797,170,9081369,Infamous Gaming,9367009,Team Maia,9367009,14,32,101779337,sl4d1n-,100,Tusk,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,9,8,5055,914221413,lalatronii <,86,Rubick,POSITION_2,MID_LANE,CORE,1,6,6,12965,908940454,TakecareMia,15,Razor,POSITION_3,OFF_LANE,CORE,3,6,5,11948,255339080,Sweettam,48,Luna,POSITION_1,SAFE_LANE,CORE,5,4,2,15168,99796146,Accel,103,Elder Titan,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,7,3,5463,916319073,jupiter,72,Gyrocopter,POSITION_4,OFF_LANE,LIGHT_SUPPORT,9,8,15,10156,120416283,Frath,18,Sven,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,1,19,7856,125845797,RedMoon,96,Centaur Warrunner,POSITION_3,OFF_LANE,CORE,1,2,17,14690,88611330,mini,23,Kunkka,POSITION_2,MID_LANE,CORE,6,1,10,18238,94004717,hFn,25,Lina,POSITION_1,SAFE_LANE,CORE,12,2,6,23381,176
Dota 2 Space League,16635,PROFESSIONAL,2024-05-12 21:00:00,2024-10-14 21:00:00,CIS,899174,BEST_OF_THREE,7903694984,2024-08-18 22:41:29,2039,173,8849990,REAL ECLIPSE,8970060,Moonwalkers,8849990,36,26,244664524,RE.Photon,59,Huskar,POSITION_3,OFF_LANE,CORE,8,7,7,20509,120488420,RE.Trixi,102,Abaddon,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,7,14,9763,69799134,RE.Entan,123,Hoodwink,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,3,9,17408,1673685362,RE.Terax,17,Storm Spirit,POSITION_2,MID_LANE,CORE,14,3,7,26411,1673878148,RE.siuuu,93,Slark,POSITION_1,SAFE_LANE,CORE,3,6,7,17854,95501968,MW.BlackSin,53,Nature's Prophet,POSITION_3,OFF_LANE,CORE,8,7,12,17581,214494274,MW.sogi,110,Phoenix,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,12,11,10807,253075824,MW.zruze,39,Queen of Pain,POSITION_4,OFF_LANE,LIGHT_SUPPORT,7,6,17,11537,200669009,MW.SoLaR,35,Sniper,POSITION_2,MID_LANE,CORE,7,4,4,21545,894758362,MW.GeoManser,44,Phantom Assassin,POSITION_1,SAFE_LANE,CORE,0,7,10,16944,176
RES - Regional Series LATAM #4,16709,PROFESSIONAL,2024-07-31 22:00:00,2024-10-14 22:00:00,SA,899159,BEST_OF_THREE,7903661179,2024-08-18 22:00:47,2592,78,9367009,Team Maia,9081369,Infamous Gaming,9081369,17,35,916319073,jupiter,123,Hoodwink,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,8,12,11943,94004717,hFn,25,Lina,POSITION_1,SAFE_LANE,CORE,7,5,4,28499,125845797,RedMoon,38,Beastmaster,POSITION_3,OFF_LANE,CORE,1,10,5,13547,88611330,mini,74,Invoker,POSITION_2,MID_LANE,CORE,1,5,14,17190,120416283,Frath,136,Marci,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,7,8,8967,101779337,sl4d1n-,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,5,2,26,18208,914221413,lalatronii <,90,Keeper of the Light,POSITION_2,MID_LANE,CORE,8,4,14,32965,908940454,TakecareMia,108,Underlord,POSITION_3,OFF_LANE,CORE,6,2,21,25205,255339080,Sweettam,72,Gyrocopter,POSITION_1,SAFE_LANE,CORE,13,5,15,32026,99796146,Accel,103,Elder Titan,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,4,24,11323,176
Dota 2 Space League,16635,PROFESSIONAL,2024-05-12 21:00:00,2024-10-14 21:00:00,CIS,899146,BEST_OF_THREE,7903656334,2024-08-18 21:57:35,1712,169,8850016,FLYING FORTUNE,8849850,HELLBEAR HEROES,8849850,13,33,419736556,Ff.WaitFreestyle,61,Broodmother,POSITION_3,OFF_LANE,CORE,0,8,8,10356,64188013,Ff.KoSide,86,Rubick,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,9,6,6507,296080998,Ff.Duh,123,Hoodwink,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,7,2,7486,234382300,Ff.ZagZag,39,Queen of Pain,POSITION_2,MID_LANE,CORE,5,4,2,16811,437135906,Ff.DaemonT,81,Chaos Knight,POSITION_1,SAFE_LANE,CORE,1,5,3,12094,338946567,HH.Bambula,14,Pudge,POSITION_3,OFF_LANE,CORE,7,2,17,16650,357479732,HH.packout,128,Snapfire,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,6,22,10250,192275954,HH.Harbinger,7,Earthshaker,POSITION_2,MID_LANE,CORE,9,1,13,21381,250144463,HH.Chedema,79,Shadow Demon,POSITION_4,OFF_LANE,LIGHT_SUPPORT,8,1,11,11602,406522933,HH.Rakinu,106,Ember Spirit,POSITION_1,SAFE_LANE,CORE,6,3,6,15036,176
Ultras Dota Pro League  2023-24,15901,PROFESSIONAL,2023-10-31 22:00:00,2024-10-31 22:00:00,CIS,899134,BEST_OF_THREE,7903619364,2024-08-18 21:19:06,1861,35,9482722,Elite Eclipse ,8965054,EYE-Gaming,8965054,28,78,189817721,Головосыр,14,Pudge,POSITION_1,SAFE_LANE,CORE,5,18,11,8610,1732573798,sakura,79,Shadow Demon,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,21,16,5591,1674266188,Чемпион доты,109,Terrorblade,POSITION_3,OFF_LANE,CORE,1,10,4,14557,895486980,kmoe,98,Timbersaw,POSITION_2,MID_LANE,CORE,10,13,7,10758,1707731674,Kony-,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,7,17,8,8141,1707472173,I AM ATOMIC,62,Bounty Hunter,POSITION_4,OFF_LANE,LIGHT_SUPPORT,12,7,43,22767,1092620119,Teen romance,137,Primal Beast,POSITION_2,MID_LANE,CORE,24,2,28,20391,339941742,D.M,96,Centaur Warrunner,POSITION_3,OFF_LANE,CORE,19,7,28,19339,119942696,parker,1,Anti-Mage,POSITION_1,SAFE_LANE,CORE,16,1,14,26044,113923026,aloxa,110,Phoenix,POSITION_5,SAFE_LANE,HARD_SUPPORT,7,11,30,11904,176
Dota 2 Space League,16635,PROFESSIONAL,2024-05-12 21:00:00,2024-10-14 21:00:00,CIS,899146,BEST_OF_THREE,7903616639,2024-08-18 21:17:01,1703,-11,8849850,HELLBEAR HEROES,8850016,FLYING FORTUNE,8849850,34,25,192275954,HH.Harbinger,36,Necrophos,POSITION_2,MID_LANE,CORE,7,1,14,22212,357479732,HH.packout,22,Zeus,POSITION_5,SAFE_LANE,HARD_SUPPORT,6,9,18,11006,250144463,HH.Chedema,64,Jakiro,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,4,20,10860,338946567,HH.Bambula,98,Timbersaw,POSITION_3,OFF_LANE,CORE,6,9,9,12790,406522933,HH.Rakinu,48,Luna,POSITION_1,SAFE_LANE,CORE,14,2,9,21248,234382300,Ff.ZagZag,15,Razor,POSITION_2,MID_LANE,CORE,7,6,3,14428,437135906,Ff.DaemonT,81,Chaos Knight,POSITION_1,SAFE_LANE,CORE,5,7,4,13080,419736556,Ff.WaitFreestyle,84,Ogre Magi,POSITION_3,OFF_LANE,CORE,1,8,8,12576,296080998,Ff.Duh,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,5,10,11721,64188013,Ff.KoSide,68,Ancient Apparition,POSITION_5,SAFE_LANE,HARD_SUPPORT,5,9,11,8182,176
