league_region,match_start_date_time,match_duration_seconds,first_blood_time_seconds,radiant_team_id,dire_team_id,winner_id,radiant_kills,dire_kills,radiant_player_1_hero_id,radiant_player_1_position,radiant_player_1_lane,radiant_player_1_role,radiant_player_1_kills,radiant_player_1_deaths,radiant_player_1_assists,radiant_player_1_networth,radiant_player_2_hero_id,radiant_player_2_position,radiant_player_2_lane,radiant_player_2_role,radiant_player_2_kills,radiant_player_2_deaths,radiant_player_2_assists,radiant_player_2_networth,radiant_player_3_hero_id,radiant_player_3_position,radiant_player_3_lane,radiant_player_3_role,radiant_player_3_kills,radiant_player_3_deaths,radiant_player_3_assists,radiant_player_3_networth,radiant_player_4_hero_id,radiant_player_4_position,radiant_player_4_lane,radiant_player_4_role,radiant_player_4_kills,radiant_player_4_deaths,radiant_player_4_assists,radiant_player_4_networth,radiant_player_5_hero_id,radiant_player_5_position,radiant_player_5_lane,radiant_player_5_role,radiant_player_5_kills,radiant_player_5_deaths,radiant_player_5_assists,radiant_player_5_networth,dire_player_1_hero_id,dire_player_1_position,dire_player_1_lane,dire_player_1_role,dire_player_1_kills,dire_player_1_deaths,dire_player_1_assists,dire_player_1_networth,dire_player_2_hero_id,dire_player_2_position,dire_player_2_lane,dire_player_2_role,dire_player_2_kills,dire_player_2_deaths,dire_player_2_assists,dire_player_2_networth,dire_player_3_hero_id,dire_player_3_position,dire_player_3_lane,dire_player_3_role,dire_player_3_kills,dire_player_3_deaths,dire_player_3_assists,dire_player_3_networth,dire_player_4_hero_id,dire_player_4_position,dire_player_4_lane,dire_player_4_role,dire_player_4_kills,dire_player_4_deaths,dire_player_4_assists,dire_player_4_networth,dire_player_5_hero_id,dire_player_5_position,dire_player_5_lane,dire_player_5_role,dire_player_5_kills,dire_player_5_deaths,dire_player_5_assists,dire_player_5_networth,game_version_id
CIS,2024-08-19 01:38:25,1542,111,8849837,8936613,8849837,,,87,,,,3,7,11,7094,19,,,,2,4,11,9413,104,,,,3,3,6,13718,49,,,,7,2,4,20246,46,,,,8,4,7,15132,20,,,,1,5,7,6167,81,,,,2,8,4,10383,71,,,,7,1,9,9418,25,,,,6,3,5,16878,48,,,,4,6,3,13910,176
CIS,2024-08-19 01:09:01,1200,187,8936613,8849837,8849837,4,23,26,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,6,1,3440,22,POSITION_2,MID_LANE,CORE,0,6,2,8495,71,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,3,3,5046,81,POSITION_3,OFF_LANE,CORE,2,4,1,9350,6,POSITION_1,SAFE_LANE,CORE,0,4,1,8575,37,POSITION_5,SAFE_LANE,HARD_SUPPORT,0,2,13,6517,19,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,1,10,6682,49,POSITION_3,OFF_LANE,CORE,0,1,10,10037,126,POSITION_2,MID_LANE,CORE,11,0,8,13402,48,POSITION_1,SAFE_LANE,CORE,7,0,4,13319,176
CIS,2024-08-19 00:12:21,1523,161,8849990,8970060,8849990,27,21,86,POSITION_4,OFF_LANE,LIGHT_SUPPORT,5,3,12,10782,72,POSITION_1,SAFE_LANE,CORE,8,4,7,15929,80,POSITION_3,OFF_LANE,CORE,1,9,6,10255,5,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,4,17,8353,11,POSITION_2,MID_LANE,CORE,11,1,3,20465,84,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,4,5,7418,85,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,11,6,5920,20,POSITION_2,MID_LANE,CORE,4,4,2,13506,6,POSITION_1,SAFE_LANE,CORE,9,4,2,14478,55,POSITION_3,OFF_LANE,CORE,2,4,5,11676,176
CIS,2024-08-18 23:28:48,1968,145,8970060,8849990,8970060,33,26,84,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,6,20,13794,42,POSITION_3,OFF_LANE,CORE,4,3,11,18775,64,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,8,20,10974,6,POSITION_1,SAFE_LANE,CORE,9,8,14,19168,126,POSITION_2,MID_LANE,CORE,14,1,13,25615,86,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,7,11,9565,11,POSITION_2,MID_LANE,CORE,8,5,6,20526,5,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,8,8,8320,14,POSITION_3,OFF_LANE,CORE,8,8,7,16308,70,POSITION_1,SAFE_LANE,CORE,4,5,2,17828,176
SA,2024-08-18 23:15:56,1797,170,9081369,9367009,9367009,14,32,100,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,9,8,5055,86,POSITION_2,MID_LANE,CORE,1,6,6,12965,15,POSITION_3,OFF_LANE,CORE,3,6,5,11948,48,POSITION_1,SAFE_LANE,CORE,5,4,2,15168,103,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,7,3,5463,72,POSITION_4,OFF_LANE,LIGHT_SUPPORT,9,8,15,10156,18,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,1,19,7856,96,POSITION_3,OFF_LANE,CORE,1,2,17,14690,23,POSITION_2,MID_LANE,CORE,6,1,10,18238,25,POSITION_1,SAFE_LANE,CORE,12,2,6,23381,176
CIS,2024-08-18 22:41:29,2039,173,8849990,8970060,8849990,36,26,59,POSITION_3,OFF_LANE,CORE,8,7,7,20509,102,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,7,14,9763,123,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,3,9,17408,17,POSITION_2,MID_LANE,CORE,14,3,7,26411,93,POSITION_1,SAFE_LANE,CORE,3,6,7,17854,53,POSITION_3,OFF_LANE,CORE,8,7,12,17581,110,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,12,11,10807,39,POSITION_4,OFF_LANE,LIGHT_SUPPORT,7,6,17,11537,35,POSITION_2,MID_LANE,CORE,7,4,4,21545,44,POSITION_1,SAFE_LANE,CORE,0,7,10,16944,176
SA,2024-08-18 22:00:47,2592,78,9367009,9081369,9081369,17,35,123,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,8,12,11943,25,POSITION_1,SAFE_LANE,CORE,7,5,4,28499,38,POSITION_3,OFF_LANE,CORE,1,10,5,13547,74,POSITION_2,MID_LANE,CORE,1,5,14,17190,136,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,7,8,8967,86,POSITION_4,OFF_LANE,LIGHT_SUPPORT,5,2,26,18208,90,POSITION_2,MID_LANE,CORE,8,4,14,32965,108,POSITION_3,OFF_LANE,CORE,6,2,21,25205,72,POSITION_1,SAFE_LANE,CORE,13,5,15,32026,103,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,4,24,11323,176
CIS,2024-08-18 21:57:35,1712,169,8850016,8849850,8849850,13,33,61,POSITION_3,OFF_LANE,CORE,0,8,8,10356,86,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,9,6,6507,123,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,7,2,7486,39,POSITION_2,MID_LANE,CORE,5,4,2,16811,81,POSITION_1,SAFE_LANE,CORE,1,5,3,12094,14,POSITION_3,OFF_LANE,CORE,7,2,17,16650,128,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,6,22,10250,7,POSITION_2,MID_LANE,CORE,9,1,13,21381,79,POSITION_4,OFF_LANE,LIGHT_SUPPORT,8,1,11,11602,106,POSITION_1,SAFE_LANE,CORE,6,3,6,15036,176
CIS,2024-08-18 21:19:06,1861,35,9482722,8965054,8965054,28,78,14,POSITION_1,SAFE_LANE,CORE,5,18,11,8610,79,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,21,16,5591,109,POSITION_3,OFF_LANE,CORE,1,10,4,14557,98,POSITION_2,MID_LANE,CORE,10,13,7,10758,86,POSITION_4,OFF_LANE,LIGHT_SUPPORT,7,17,8,8141,62,POSITION_4,OFF_LANE,LIGHT_SUPPORT,12,7,43,22767,137,POSITION_2,MID_LANE,CORE,24,2,28,20391,96,POSITION_3,OFF_LANE,CORE,19,7,28,19339,1,POSITION_1,SAFE_LANE,CORE,16,1,14,26044,110,POSITION_5,SAFE_LANE,HARD_SUPPORT,7,11,30,11904,176
CIS,2024-08-18 21:17:01,1703,-11,8849850,8850016,8849850,34,25,36,POSITION_2,MID_LANE,CORE,7,1,14,22212,22,POSITION_5,SAFE_LANE,HARD_SUPPORT,6,9,18,11006,64,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,4,20,10860,98,POSITION_3,OFF_LANE,CORE,6,9,9,12790,48,POSITION_1,SAFE_LANE,CORE,14,2,9,21248,15,POSITION_2,MID_LANE,CORE,7,6,3,14428,81,POSITION_1,SAFE_LANE,CORE,5,7,4,13080,84,POSITION_3,OFF_LANE,CORE,1,8,8,12576,86,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,5,10,11721,68,POSITION_5,SAFE_LANE,HARD_SUPPORT,5,9,11,8182,176
