"id","first_blood_time","radiant_gold_advantage","radiant_experience_advantage","radiant_win","min_radiant_gold_advantage","max_radiant_gold_advantage","mean_radiant_gold_advantage","std_dev_radiant_gold_advantage","final_radiant_gold_advantage","min_radiant_experience_advantage","max_radiant_experience_advantage","mean_radiant_experience_advantage","std_dev_radiant_experience_advantage","final_radiant_experience_advantage"
7987636263,0,"{896,914,222,-294,-562,-2628,-3018,-5714,-8194,-8158,-10278,-16670,-18608,-20264,-22482,-28182,-39220}","{198,198,25,-346,-1581,-3445,-3572,-6685,-8485,-7963,-9371,-15496,-18826,-19389,-22100,-19454,-23297}",false,-39220,914,-10720.00000,11399.49295,-39220,-23297,198,-9387.58824,8321.39375,-23297
7987636205,94,"{0,1268,2628,3638,5166,5712,6753,5849,9675,11457,12760,15711,20311,22305,23833,28027,36427,39443}","{0,128,531,1763,3476,3170,3370,2715,10030,8960,10525,9842,15058,11112,7743,5955,12049,13298}",true,0,39443,13942.38889,11649.09714,39443,0,15058,6651.38889,4738.15984,13298
7987635337,0,"{1008,2064,3168,2944,2384,582,2352,-448,240,-1612,-6730,-7636,-14002,-18196,-17064,-16446,-18328,-30066,-48638}","{200,-44,350,111,40,-2331,-1372,-4131,-2016,-3970,-11024,-11182,-22231,-25538,-14751,-11937,-13516,-26300,-50496}",false,-48638,3168,-8653.89474,13403.49577,-48638,-50496,350,-10533.57895,12801.08947,-50496
7987631581,78,"{0,-994,-1900,-2356,-1066,-1034,-1006,1798,2848,6980,6966,10586,17932,28868,31512,41290}","{0,-273,100,-1537,1114,1154,1381,5527,2551,6305,7250,10868,27422,34780,21754,45925}",true,-2356,41290,8776.50000,13356.59069,41290,-1537,45925,10270.06250,13943.59337,45925
7987630722,94,"{0,-320,-70,118,-560,-664,-1308,-2370,-810,-4216,676,5702,3548,7762,16134,21204,20594,30754,40128,41442}","{0,58,360,266,-863,-848,-1868,-2355,-858,-5159,1175,8747,2938,11329,24364,32431,28428,46371,60329,49653}",true,-4216,41442,8887.20000,14071.82853,41442,-5159,60329,12724.90000,19651.03730,49653
7987629530,73,"{250,-301,-4,133,12,-380,-1256,-2662,-3457,-4507,-5688,-7223,-8856,-9934,-12153,-16993,-17639}","{0,13,-48,-63,6,-503,-1441,-3106,-2533,-3308,-5578,-6980,-8795,-9928,-12455,-14250,-13352}",false,-17639,250,-5332.82353,5775.25073,-17639,-14250,13,-4842.41176,4987.79157,-13352
7987628694,0,"{448,680,1026,1075,1636,1659,1908,3183,3930,4118,4921,4678,5497,7914,9263,10027,11059,9666,10199,12137,16471,21107}","{99,365,558,529,1143,1429,1765,3076,3806,4952,5084,4976,5939,8453,9264,8218,8983,6608,6729,6054,10854,13939}",true,448,21107,6481.90909,5390.61762,21107,99,13939,5128.31818,3730.46761,13939
7987627513,115,"{0,374,646,986,698,-460,-3404,-4462,-4103,-8829,-12763,-19315,-20339,-21135,-25703,-29205,-25853,-18407,-23075}","{0,-330,3,-413,300,-1353,-1922,-5794,-5299,-13655,-19922,-21661,-20473,-24999,-29138,-28827,-24848,-11752,-32406}",false,-29205,986,-11281.52632,10661.98479,-23075,-32406,300,-12762.57895,11596.49942,-32406
7987627476,69,"{0,-970,-1892,-1940,-3702,-2610,-2698,-4212,-12304,-14776,-20224,-21572,-24296,-23800,-27904,-31058,-31928,-30182,-32316,-40848,-42522,-47912}","{0,-123,-1278,-1746,-2435,-777,-2541,-4141,-12421,-17576,-21133,-21572,-28855,-25753,-36984,-40864,-33588,-36374,-35454,-55411,-30469,-50684}",false,-47912,0,-19075.72727,14983.85297,-47912,-55411,0,-20917.22727,17312.16449,-50684
7987627072,3,"{0,252,434,2120,2096,2750,2772,4804,4212,6956,4900,-30,-2966,-1830,-7564,-6070,-9804,-15188,-18410,-21436}","{0,86,308,1485,1358,1872,3498,5822,5198,13671,7007,2761,583,6131,-7381,-1345,-6068,-16282,-30571,-35152}",false,-21436,6956,-2600.10000,7854.36428,-21436,-35152,13671,-2350.95000,11790.41040,-35152
7987627058,3,"{0,-29,-94,286,1018,1562,1669,1274,2459,3474,4811,5659,6201,7289,8477,9403,10209,11389,13903,15851,19244,21203}","{0,122,-192,74,716,984,1260,1573,3753,4088,4308,4721,4982,6583,6852,8830,9668,11739,12551,13796,14845,14575}",true,-94,21203,6602.63636,6297.23280,21203,-192,14845,5719.45455,5056.89100,14575
7987626200,1,"{0,-170,-938,-574,1330,2342,-52,-564,328,-1480,-4828,-646,-1046,-2244,-1764,-598,-2612,-250,-1300,-2030,432,8834,6844,4362,216,12614}","{0,248,-650,-883,1234,2194,536,-101,-549,-595,-1631,3685,2279,15,4599,3680,2145,7105,4340,4570,10655,33012,15877,13863,9020,38634}",true,-4828,12614,623.30769,3670.48808,12614,-1631,38634,5895.46154,9761.27257,38634
7987626183,84,"{0,-766,-1448,-2900,-2252,-3472,-7300,-5880,-7494,-5530,2488,-1074,3536,10732,13120,19750,20018,34276}","{0,-27,179,-1532,-284,-1845,-6364,-8206,-11455,-9924,3973,-620,11305,20112,24557,36337,22231,38685}",true,-7494,34276,3655.77778,11143.12051,34276,-11455,38685,6506.77778,14988.80042,38685
7987625940,174,"{0,142,-106,990,116,256,-974,-1238,3522,1014,744,1406,2500,3156,3424,1942,3248,1668,-5592,-19162,-32310,-36624}","{0,126,-344,882,334,791,1384,2158,4522,629,-667,1302,817,-233,1183,-3900,-2706,-5117,-31875,-60926,-76957,-63830}",false,-36624,3522,-3267.18182,10899.20714,-36624,-76957,4522,-10564.86364,23694.19347,-63830
7987625135,4,"{0,-808,-596,802,-92,-608,-1294,-3426,-5448,-2880,-3720,-2284,-7380,-11236,-9952,-948,6180,10292,16342,14058,24662,18478,11706,10856,23478}","{0,-103,-449,410,5,-737,-1073,-2912,-6222,-1877,-1185,5631,-5897,-12911,-10950,9607,24715,21625,34718,26295,64178,44824,32555,31833,39135}",true,-11236,24662,3447.28000,9839.89325,23478,-12911,64178,11648.60000,19814.42202,39135
7987624876,8,"{-100,-163,-162,-656,-171,833,1857,1646,3105,3490,2716,3982,4714,6880,7429}","{-68,-157,-161,-434,-168,660,1679,1258,2396,2743,2737,3225,4217,6553,8839}",true,-656,7429,2360.00000,2498.40464,7429,-434,8839,2221.26667,2596.25465,8839
7987624541,0,"{1086,1090,314,1242,2012,4884,6242,7038,9394,13792,9062,9821,12397,19676,15020,20026,26542,29326,28746,30398,42670}","{200,233,-206,1045,2699,5661,6652,6801,8557,13661,1000,1536,4763,17594,11707,10570,23707,17309,12796,15995,36688}",true,314,42670,13846.57143,11658.28915,42670,-206,36688,9474.66667,9043.11376,36688
7987624393,8,"{0,-186,14,-196,-772,1136,2842,3656,5083,8167,10882,7050,6090,8284,7948,1020,3474,4894,-3838,-6194,-6550,-16242,-9616,5462,7240,12768,13332,15064}","{0,-4,316,577,-483,735,3912,3627,3561,5778,8396,2664,2038,4956,3748,-9240,3179,-441,-31624,-28867,-23450,-47455,-25696,-8801,-9604,560,-2,4741}",true,-16242,15064,2886.14286,6966.69776,15064,-47455,8396,-4888.53571,13510.12073,4741
7987623767,12,"{0,1688,1920,756,738,1326,372,-222,-640,-659,-313,63,-4831,-7733,-11555,-11377,-13657,-14071,-19939,-21469,-24993}","{0,46,-103,-1100,-906,14,825,408,857,-1091,-635,-708,-7794,-8335,-11930,-5426,-12747,-11302,-6849,-7683,-8855}",false,-24993,1920,-5933.14286,8409.25863,-24993,-12747,857,-3967.33333,4638.04259,-8855
7987622921,188,"{0,710,144,-822,-2908,-4286,-4856,-10168,-14042,-13984,-16542,-19330,-11728,-16524,-19888,-22320,-27612,-39464}","{0,228,109,-1217,-2431,-3086,-4274,-8043,-12516,-11135,-10769,-14488,-4144,-10202,-23170,-18789,-21832,-59240}",false,-39464,710,-12423.33333,10648.52616,-39464,-59240,228,-11388.83333,13680.66430,-59240
7987622859,137,"{0,-79,196,1044,555,903,1532,371,1364,1859,1682,2026,3404,4349,4077,4977,4995,4025,2645,4153,3747,6697,7722}","{0,-78,302,734,183,225,690,-505,503,1274,1328,1608,2645,4805,4876,6118,6262,5544,3970,6665,7101,10425,13995}",true,-79,7722,2706.26087,2130.02376,7722,-505,13995,3420.43478,3700.62814,13995
7987622140,142,"{0,-348,-422,-954,-2676,-3486,-4762,-4108,-2652,-1644,-2252,3364,1154,1174,1830,7166,3912,8014,9206,12206,14136,25048,28574,21184,24970,27388}","{0,20,-307,-930,-2809,-3739,-6174,-5628,-4902,-4510,-9489,-49,-5241,-6578,-4616,6804,-229,7311,6377,9752,11245,24972,14843,10810,14135,16397}",true,-4762,28574,6385.46154,10493.24758,27388,-9489,24972,2594.80769,8627.92773,16397
7987621577,0,"{-599,-1489,-1837,-2092,-2233,-2135,-2721,-4144,-5994,-5382,-4787,-5772,-8105,-10639,-12834,-13956,-13789,-14788,-16459,-20324,-21175,-24814,-30031,-34033}","{-97,-107,-369,-702,-451,-667,-824,-1193,-1652,-974,-50,-581,-3449,-4867,-7952,-7657,-7649,-8583,-10017,-14630,-15522,-19246,-18539,-19821}",false,-34033,-599,-10838.83333,9357.29038,-34033,-19821,-50,-6066.62500,6695.86542,-19821
7987621254,0,"{-573,-608,-198,149,28,184,268,176,592,1349,2114,3027,5763,6891,8825,9955,11110,13356,15697,15489,16470,19857,22340,26525}","{-100,-66,256,525,442,664,316,869,1614,2494,2731,3838,8570,9487,12202,14051,16327,20080,23103,21880,23116,28185,30710,32814}",true,-608,26525,7449.41667,8162.05770,26525,-100,32814,10587.83333,10960.23393,32814
7987621037,0,"{583,652,815,843,622,1322,1299,1014,1499,2054,2502,5611,5753,6920,8850,9498,10828,12371,13970,14454,14775,17216,20084}","{100,306,178,169,234,1060,1407,1499,1945,2854,3346,6545,6227,8787,11300,15018,16512,16451,17514,16981,17276,19266,21443}",true,583,20084,6675.43478,6144.02816,20084,100,21443,8105.13043,7511.21558,21443
7987620819,0,"{1106,676,1000,670,-796,-470,906,1002,-624,1332,4000,6580,8233,8191,12337,14837,16931,20225,23565,27007,34635,45923,50699,59001,63057,71851,73371}","{200,-151,90,-613,-1401,-2045,-1950,-1527,-3345,-1265,703,5689,10650,9852,12034,14882,14067,23348,35832,35154,53758,75550,74397,73931,80963,92311,93346}",true,-796,73371,20194.25926,23902.67767,73371,-3345,93346,25720.74074,33011.84106,93346
7987620756,106,"{0,-76,-1290,-628,754,888,1026,-1734,-1162,-1482,-3406,1734,3012,-932,452,1370,8346,9702,13602,17336,20950,12084,10208,8070,15488,15234,28260,31598,37026}","{0,102,-562,-166,1606,1912,2848,659,670,87,-3658,4622,6547,-1086,9368,10579,24848,22049,30458,28509,28357,839,2694,-910,17111,13038,22518,26576,28484}",true,-3406,37026,7807.93103,10688.75558,37026,-3658,30458,9589.62069,11404.15745,28484
7987620733,211,"{0,146,676,448,3062,3274,4616,5298,10416,12236,11936,12242,13180,17354,17966,14638,18312,20340,17994,9706,10168,4748,-1484,-1414,-4468,-10572,-26444,-29252}","{0,240,844,24,1306,1940,2640,4487,10511,11768,12308,15595,15734,18289,15207,23656,23981,23381,10740,-10659,-6230,-21977,-32683,-32069,-33278,-51229,-72013,-79140}",false,-29252,20340,4825.78571,11898.99955,-29252,-79140,23981,-5236.67857,27013.24868,-79140
7987620345,18,"{0,-1048,-1568,-1902,-4736,-6436,-6752,-8488,-11620,-10244,-12490,-19478,-28752,-37700,-43818,-45892,-28006,-28648,-26714}","{0,-849,-276,-569,-2299,-3027,-4465,-6761,-10500,-10275,-14151,-20276,-26274,-27639,-27016,-20770,2397,-13819,-22175}",false,-45892,0,-17068.00000,14548.90964,-26714,-27639,2397,-10986.52632,10049.80470,-22175
7987620094,66,"{0,-740,-1668,-752,-498,-384,760,1470,-1838,-5152,-7462,-4550,-6768,-8874,-13792,-17922,-21838,-25616,-33842,-38788,-36692,-38866,-56442}","{0,-480,-815,-782,-432,-1270,1194,1421,-4756,-10093,-12805,-8538,-11568,-13665,-22343,-32068,-35524,-43459,-59005,-65107,-53764,-46024,-79136}",false,-56442,1470,-13924.08696,16306.16965,-56442,-79136,1421,-21696.47826,24255.61337,-79136
7987619914,39,"{100,-417,-22,59,271,1218,1407,1449,3259,4311,4456,6925,8810,12613}","{69,79,535,580,350,1113,1001,1642,1951,3870,4756,8512,9265,11079}",true,-417,12613,3174.21429,3765.31532,12613,69,11079,3200.14286,3632.80399,11079
7987619704,26,"{-250,-1214,-1038,-536,-84,920,960,6126,8292,11104,15254,16398,11290,14794,16702,13374,13230,14266,8276,9024,11202,12798,5734,246,5922,18346}","{0,52,185,1163,726,2058,3315,10052,12980,16711,21307,10681,879,5555,10791,3719,7038,8939,-6406,-5800,408,1285,-21606,-28735,1077,12877}",true,-1214,18346,8120.61538,6348.12820,18346,-28735,21307,2663.50000,10334.55979,12877
7987618853,0,"{-348,857,1626,1615,1666,2200,3217,3140,4518,3180,5012,6350,7255,7945,7674,8299,10800,10806,11457,14442,16042,18486,22816}","{-100,429,712,353,1058,1169,1890,1227,3703,2637,4044,4566,6098,6244,5139,5752,7503,7272,8365,10939,10410,9799,12597}",true,-348,22816,7350.21739,5984.47868,22816,-100,12597,4861.13043,3731.80620,12597
7987618589,13,"{0,508,-280,196,912,770,1116,-1070,-3568,-2200,-2104,-1020,-716,1808,4242,10306,12142,18318,20742,28926}","{0,244,-855,-396,-278,-299,674,-1383,-2826,-813,-1495,-758,-3620,3696,8563,12790,15369,21517,20845,30821}",true,-3568,28926,4451.40000,8685.73408,28926,-3620,30821,5089.80000,9602.41111,30821
7987618525,0,"{-516,-375,-226,522,311,506,443,1951,2059,1796,2059,2284,3693,5693,6354,7141,7832,8856,10813,11100,12563,12320,13223,13993,15262,15623,16322,22115}","{-100,-12,485,893,1002,1407,1738,3266,3375,3075,3531,4597,5687,7567,8203,8243,10551,11890,15168,17087,19416,18272,18598,22194,23182,21955,22609,28421}",true,-516,22115,6918.46429,6301.50036,22115,-100,28421,10082.14286,8687.41356,28421
7987618337,49,"{0,2042,538,542,-928,1982,1172,1044,4772,9608,11184,8524,7656,11982,20830,33066,31836,27454}","{0,682,-782,-1365,-3271,-925,-1333,-3340,3908,8570,9976,3281,2868,11542,31720,43531,33003,-1637}",true,-928,33066,9628.00000,10936.54957,27454,-3340,43531,7579.33333,13594.98349,-1637
7987618159,267,"{0,-433,-323,-403,-428,-304,243,204,643,1623,1614,1874,2597,2314,3840,3949,4033,5949,6159,6324,7049,6952,8480,9009,9209,15819}","{0,-117,111,111,-55,34,842,389,858,1805,1883,2256,2594,3291,5632,4324,5891,7612,6533,7002,9569,9060,11646,11765,10905,17783}",true,-433,15819,3692.03846,3989.13850,15819,-117,17783,4681.69231,4718.36163,17783
7987617891,14,"{0,-836,-572,1334,-256,1286,4136,10402,10000,11718,12422,17046,18802,21186,22526,24460,23762,25842,40390,49480}","{0,211,-141,1048,1849,2141,5214,10047,8431,9952,9826,18587,16125,16920,18742,23051,12499,28395,58874,63382}",true,-836,49480,14656.40000,13667.39506,49480,-141,63382,15257.65000,17274.78893,63382
7987617356,0,"{-440,-1674,-2161,-2341,-3439,-3979,-3831,-4013,-3843,-4999,-5039,-4198,-2325,-2127,-4048,-3276,-4638,-6067,-5985,-4308,-4755,-7572,-9282,-8725,-8213,-7766,-10661,-12010,-17205}","{-99,-105,-241,-594,-1192,-1632,-2066,-2812,-3006,-4522,-4762,-5192,-3433,-3488,-6192,-3644,-6514,-7862,-7459,-3516,-3183,-7628,-7451,-7364,-6169,-8463,-12216,-16720,-19922}",false,-17205,-440,-5480.00000,3509.22002,-17205,-19922,-99,-5429.20690,4557.02819,-19922
7987617046,78,"{0,980,2812,3612,1938,724,1180,3344,-2410,-4092,-6950,-7730,-6352,-10142,1126,3032,7124,8762,12836,18810,36894}","{0,274,796,1684,-32,-2275,-2620,-2091,-6933,-9057,-12551,-13166,-8508,-17724,3910,5762,7235,7468,14490,24002,47047}",true,-10142,36894,3118.95238,10061.78789,36894,-17724,47047,1795.76190,13724.86853,47047
7987616983,140,"{0,148,-158,-676,-1310,-1969,-2285,-2968,-3396,-2964,-3297,-3547,-1888,-1483,-3542,-5522,-6219,-9041,-10860,-12712,-15011,-19730,-20697,-24246}","{0,22,-318,111,-204,-1067,-1031,-1583,-1349,-1441,-2255,-1221,369,-650,-1464,-4226,-5177,-9281,-12443,-13502,-15222,-18749,-17035,-22646}",false,-24246,148,-6390.54167,6962.24865,-24246,-22646,369,-5431.75000,6964.61186,-22646
7987616451,0,"{-1189,-1325,-1032,-957,-1486,-2344,-1455,-1996,-2716,-1554,-1579,-2337,-2761,-1970,-1477,-376,-3624,-2800,-2882,-2643,-4803,-5402,-7507,-9409,-12642,-12893,-16453}","{-200,-269,-353,-483,-592,-1549,-952,-1717,-2400,-1327,-784,-1679,-2105,-1033,-633,338,-3412,-3522,-3778,-4173,-6413,-8299,-9892,-11008,-16700,-17185,-17785}",false,-16453,-376,-3985.62963,4090.53034,-16453,-17785,338,-4366.85185,5390.14915,-17785
7987616223,8,"{0,506,318,817,1117,1224,1461,2346,2605,2994,3139,4167,3737,4672,5260,6657,6565,7023,7536,10042,11351,13440,14442,16569,16604,16951,19556,21416,19883,21516,24441}","{0,259,-15,523,953,744,806,1612,2079,2382,2507,4253,4349,5117,5383,7411,7788,8679,9301,12230,12264,16462,16045,17453,17882,17768,19983,17061,16901,22441,30322}",true,0,24441,8656.61290,7495.13658,24441,-15,30322,9062.67742,8056.98432,30322
7987615181,26,"{-250,1218,-388,-642,-1778,-2112,-1050,-1568,-1300,-2581,-2353,-4209,-6211,-13473,-4657,-7077,-11765,-12511,-19741,-22367,-11389,-7815,-15303,-31825}","{0,420,-1301,-1674,-2775,-2544,-2071,-2687,-3456,-3407,-2927,-6145,-6649,-18189,4307,-6503,-11597,-9068,-32817,-33088,-6626,4999,-25851,-43475}",false,-31825,1218,-7547.79167,8145.12032,-31825,-43475,4999,-8880.16667,12347.87143,-43475
7987615060,56,"{0,-1852,-2282,-3172,-2550,-4272,-6266,-4648,-6312,-8236,-11238,-19248,-20862,-23004,-25154,-28890,-30782,-24974,-18990,-18886,-19858,-25880,-32650,-33390,-31722,-28222,-31882}","{0,-531,-1140,-1373,-116,-876,-2977,-1685,-3192,-9515,-11236,-24212,-21002,-26793,-27454,-31524,-31675,-20956,-9883,-6326,-11758,-32989,-41672,-35665,-44446,-29170,-46296}",false,-33390,0,-17230.44444,11348.58671,-31882,-46296,0,-17572.66667,15132.61431,-46296
7987615014,205,"{0,36,331,314,434,376,1161,527,63,713,819,124,-837,-741,-951,-1479,-2257,-4644,-5443,-6585,-7713,-9928,-11913,-12522,-12733,-15494,-17080,-17444,-18940,-19642,-24003,-27527,-25763,-31444}","{0,-58,70,-140,-455,-513,-79,-399,-1842,-1663,-1136,-2874,-2863,-2369,-2862,-4023,-4888,-8527,-9640,-10168,-11288,-15388,-15550,-16688,-14293,-19735,-20498,-21159,-21659,-24155,-30327,-31283,-27524,-38413}",false,-31444,1161,-7946.61765,9619.45707,-31444,-38413,70,-10658.50000,10867.03733,-38413
7987615012,0,"{558,402,520,418,259,1699,1980,2994,2010,2716,3130,2997,3128,6126,6916,6201,8936,10025,9813,10572,13242,13108,13550,14847,17297,19349,25587}","{100,269,167,-22,-6,1056,1617,2317,1546,2047,2341,2356,2643,5386,5696,6343,9293,10551,11049,10539,14374,14258,16698,19864,20115,22231,22699}",true,259,25587,7347.40741,6641.21391,25587,-22,22699,7612.11111,7451.60255,22699
7987614875,0,"{563,1561,1683,2420,3209,3902,3974,4627,6881,7425,7348,8113,9816,10829,13114,14639,14254,16414,20464}","{100,383,312,1214,2534,2813,3449,3905,6029,6281,5574,5947,7991,9672,10416,10432,9475,11722,14242}",true,563,20464,7959.78947,5543.71730,20464,100,14242,5920.57895,4130.56412,14242
7987614567,1,"{0,782,696,1826,1402,1794,7140,7668,7224,9836,12706,13668,12556,13968,19896,24040,22736,26098,29468,39526,28570,28934,34484}","{0,299,291,1103,168,1039,6955,8897,6529,9151,11621,12823,12031,14407,22942,33679,31641,31801,45305,63206,52720,53592,66067}",true,0,39526,15000.78261,11866.72162,34484,0,66067,21142.04348,21228.01567,66067
7987614424,57,"{0,1048,2252,1884,540,1258,952,2232,4540,5086,5996,5512,6611,547,-4549,-12533}","{0,-24,769,67,-1563,-128,-1332,-4442,-6724,-7158,-8800,-12993,-14131,-24819,-31513,-38531}",false,-12533,6611,1336.00000,4496.59869,-12533,-38531,769,-9457.62500,11804.38710,-38531
7987614315,15,"{0,689,833,568,115,512,655,1681,2818,2205,2023,4548,6077,6039,7069,8270,8893,10253,11802,9248,10489,10263,9700,11892,12158,12848,15300,16744,19563,22878}","{0,291,416,277,-45,211,693,1761,2691,2032,1501,3308,3754,3641,5495,7214,8804,11007,12128,8768,10378,10299,9407,12276,12889,14868,16524,19375,20407,30802}",true,0,22878,7537.76667,6118.71520,22878,-45,30802,7705.73333,7378.31455,30802
